"Town","FIPS","County","County FIPS","Council Of Government","Year","Month","Type","Value","Companies with Address Change"
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"All Business Entities",1,0
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"Benefit Corp.",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"General Partnership",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"LLC (CT)",1,0
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"LLC (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"LLP (CT)",NA,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"LP (CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"LP (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"Nonstock Corporation (CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"Nonstock Corporation (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"Other",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"Statutory Trust (CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"Statutory Trust (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"Stock Corporation (CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,1,"Stock Corporation (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"All Business Entities",3,0
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"Benefit Corp.",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"General Partnership",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"LLC (CT)",3,0
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"LLC (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"LLP (CT)",NA,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"LP (CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"LP (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"Nonstock Corporation (CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"Nonstock Corporation (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"Other",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"Statutory Trust (CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"Statutory Trust (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"Stock Corporation (CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,2,"Stock Corporation (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,3,"All Business Entities",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,3,"Benefit Corp.",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,3,"General Partnership",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,3,"LLC (CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,3,"LLC (Non-CT)",0,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,3,"LLP (CT)",NA,NA
"Andover","0901301080","Tolland County","09013","Capitol",2017,3,"LP (CT)",0,NA
